[2025-04-20T02:24:57.466+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 14:09:38+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.466+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 14:08:36+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.466+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 14:07:27+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.466+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 13:53:33+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.466+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 13:06:38+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.466+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 12:49:35+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.466+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 12:48:59+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.466+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 12:30:52+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 11:50:28+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 11:46:58+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 11:01:23+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 10:36:31+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 10:10:48+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 10:00:15+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 09:39:04+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 09:31:13+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 09:27:56+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.467+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 09:24:47+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.468+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 09:22:21+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.468+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 08:07:51+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.468+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 07:24:24+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.468+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 06:25:32+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.468+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 06:18:11+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.468+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 05:43:39+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.468+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 05:35:35+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.468+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 05:32:14+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.468+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 05:10:15+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.469+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 04:49:10+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.469+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 04:36:10+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.469+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 04:20:26+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.469+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 04:15:24+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.469+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 04:01:05+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.469+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 03:53:56+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.469+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 03:45:16+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.469+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 03:30:01+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.469+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 03:02:52+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 03:02:30+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:53:22+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:47:29+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:46:52+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:42:12+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:37:05+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:32:58+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:23:51+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:14:08+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.470+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:13:44+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.471+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 02:08:48+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.471+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:56:05+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.471+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:55:32+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.471+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:54:00+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.471+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:53:56+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.471+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:52:34+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.471+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:51:15+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.471+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:50:19+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.471+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:40:00+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.764+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:32:24+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.764+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:29:58+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.764+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:25:26+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.764+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:25:18+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.764+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:23:31+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.765+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:20:03+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.765+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:19:48+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.765+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:11:38+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.765+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:08:31+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.765+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:07:41+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.765+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:03:37+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.765+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:03:22+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.765+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:02:31+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.765+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:01:57+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
[2025-04-20T02:24:57.766+0000] {logging_mixin.py:188} INFO - Published: 2025-04-11 01:00:34+00:00 | Start: 2025-04-04 00:00:00+00:00 | End: 2025-04-05 00:00:00+00:00
